fecha,cp,minsplit,minbucket,maxdepth,ganancia
20210830 003709,-1,150,15,10,2755000
20210830 003901,-1,150,30,10,2683750
20210830 004052,-1,150,50,10,1963750
20210830 004245,-1,150,75,10,873750
20210830 004436,-1,200,1,10,3850000
20210830 004628,-1,200,2,10,3961250
20210830 004819,-1,200,3,10,4031250
20210830 005009,-1,200,4,10,3753750
20210830 005203,-1,200,5,10,3742500
20210830 005354,-1,200,20,10,2982500
20210830 005545,-1,200,40,10,2723750
20210830 005737,-1,200,66,10,1717500
20210830 005929,-1,200,100,10,1683750
20210830 080301,0,50,5,4,1443750
20210830 080404,0,50,10,4,990000
20210830 080505,0,50,16,4,990000
20210830 080601,0,50,25,4,0
20210830 080656,0,100,10,4,406250
20210830 080753,0,100,20,4,0
20210830 080847,0,100,33,4,0
20210830 080942,0,100,50,4,0
20210830 081036,0,150,15,4,406250
20210830 081130,0,150,30,4,0
20210830 081226,0,150,50,4,0
20210830 081320,0,150,75,4,0
20210830 081414,0,200,20,4,0
20210830 081509,0,200,40,4,0
20210830 081603,0,200,66,4,0
20210830 081657,0,200,100,4,0
20210830 081751,0,300,30,4,0
20210830 081844,0,300,60,4,0
20210830 081938,0,300,100,4,0
20210830 082032,0,300,150,4,0
20210830 082126,0,400,40,4,0
20210830 082223,0,400,80,4,0
20210830 082316,0,400,133,4,0
20210830 082411,0,400,200,4,0
20210830 082517,0,50,5,5,2778750
20210830 082624,0,50,10,5,2410000
20210830 082728,0,50,16,5,2465000
20210830 082831,0,50,25,5,0
20210830 082936,0,100,10,5,1827500
20210830 083041,0,100,20,5,453750
20210830 083145,0,100,33,5,0
20210830 083255,0,100,50,5,0
20210830 083359,0,150,15,5,1881250
20210830 083503,0,150,30,5,0
20210830 083607,0,150,50,5,0
20210830 083710,0,150,75,5,0
20210830 083814,0,200,20,5,453750
20210830 083918,0,200,40,5,0
20210830 084022,0,200,66,5,0
20210830 084126,0,200,100,5,0
20210830 084233,0,300,30,5,0
20210830 084342,0,300,60,5,0
20210830 084450,0,300,100,5,0
20210830 084559,0,300,150,5,0
20210830 084721,0,400,40,5,0
20210830 084833,0,400,80,5,0
20210830 084939,0,400,133,5,0
20210830 085043,0,400,200,5,0
20210830 085201,0,50,5,6,2778750
20210830 085317,0,50,10,6,2410000
20210830 085431,0,50,16,6,2465000
20210830 085545,0,50,25,6,0
20210830 085700,0,100,10,6,1827500
20210830 085815,0,100,20,6,453750
20210830 085929,0,100,33,6,0
20210830 090046,0,100,50,6,0
20210830 090209,0,150,15,6,1881250
20210830 090326,0,150,30,6,0
20210830 090440,0,150,50,6,0
20210830 090555,0,150,75,6,0
20210830 090710,0,200,20,6,453750
20210830 090825,0,200,40,6,0
20210830 090939,0,200,66,6,0
20210830 091053,0,200,100,6,0
20210830 091209,0,300,30,6,0
20210830 091323,0,300,60,6,0
20210830 091436,0,300,100,6,0
20210830 091551,0,300,150,6,0
20210830 091704,0,400,40,6,0
20210830 091819,0,400,80,6,0
20210830 091933,0,400,133,6,0
20210830 092048,0,400,200,6,0
20210830 092214,0,50,5,7,3360000
20210830 092338,0,50,10,7,2888750
20210830 092502,0,50,16,7,2626250
20210830 092627,0,50,25,7,0
20210830 092751,0,100,10,7,1827500
20210830 092915,0,100,20,7,453750
20210830 093039,0,100,33,7,0
20210830 093207,0,100,50,7,0
20210830 093334,0,150,15,7,1881250
20210830 093457,0,150,30,7,0
20210830 093621,0,150,50,7,0
20210830 093746,0,150,75,7,0
20210830 093910,0,200,20,7,453750
20210830 094034,0,200,40,7,0
20210830 094159,0,200,66,7,0
20210830 094323,0,200,100,7,0
20210830 094447,0,300,30,7,0
20210830 094612,0,300,60,7,0
20210830 094736,0,300,100,7,0
20210830 094900,0,300,150,7,0
20210830 095024,0,400,40,7,0
20210830 095149,0,400,80,7,0
20210830 095314,0,400,133,7,0
20210830 095438,0,400,200,7,0
20210830 095613,0,50,5,8,3676250
20210830 095747,0,50,10,8,2888750
20210830 095921,0,50,16,8,2626250
20210830 100056,0,50,25,8,0
20210830 100236,0,100,10,8,1827500
20210830 100410,0,100,20,8,453750
20210830 100544,0,100,33,8,0
20210830 100718,0,100,50,8,0
20210830 100852,0,150,15,8,1881250
20210830 101026,0,150,30,8,0
20210830 101202,0,150,50,8,0
20210830 101336,0,150,75,8,0
20210830 101509,0,200,20,8,453750
20210830 101643,0,200,40,8,0
20210830 101817,0,200,66,8,0
20210830 101951,0,200,100,8,0
20210830 102124,0,300,30,8,0
20210830 102302,0,300,60,8,0
20210830 102435,0,300,100,8,0
20210830 102609,0,300,150,8,0
20210830 102743,0,400,40,8,0
20210830 102916,0,400,80,8,0
20210830 103051,0,400,133,8,0
20210830 103230,0,400,200,8,0
20210830 103423,0,50,5,10,4256250
20210830 103617,0,50,10,10,3740000
20210830 103811,0,50,16,10,2626250
20210830 104005,0,50,25,10,0
20210830 104201,0,100,10,10,2022500
20210830 104354,0,100,20,10,453750
20210830 104547,0,100,33,10,0
20210830 104739,0,100,50,10,0
20210830 104938,0,150,15,10,1881250
20210830 105133,0,150,30,10,0
20210830 105329,0,150,50,10,0
20210830 105521,0,150,75,10,0
20210830 105715,0,200,20,10,453750
20210830 105908,0,200,40,10,0
20210830 110102,0,200,66,10,0
20210830 110301,0,200,100,10,0
20210830 110454,0,300,30,10,0
20210830 110646,0,300,60,10,0
20210830 110840,0,300,100,10,0
20210830 111032,0,300,150,10,0
20210830 111227,0,400,40,10,0
20210830 111419,0,400,80,10,0
20210830 111612,0,400,133,10,0
20210830 111803,0,400,200,10,0
20210830 224610,-1,2,1,4,3051250
20210830 224715,-1,2,2,4,3051250
20210830 224811,-1,2,3,4,3051250
20210830 224906,-1,2,4,4,3047500
20210830 225001,-1,2,5,4,2928750
20210830 225056,-1,2,0,4,3051250
20210830 225152,-1,4,1,4,3051250
20210830 225248,-1,4,2,4,3051250
20210830 225341,-1,4,3,4,3051250
20210830 225437,-1,4,4,4,3047500
20210830 225531,-1,4,5,4,2928750
20210830 225625,-1,4,0,4,3051250
20210830 225720,-1,8,1,4,3051250
20210830 225813,-1,8,2,4,3051250
20210830 225907,-1,8,3,4,3051250
20210830 230001,-1,8,4,4,3047500
20210830 230055,-1,8,5,4,2928750
20210830 230151,-1,8,0,4,3051250
20210830 230249,-1,10,1,4,3051250
20210830 230343,-1,10,2,4,3051250
20210830 230437,-1,10,3,4,3051250
20210830 230532,-1,10,4,4,3047500
20210830 230627,-1,10,5,4,2928750
20210830 230721,-1,15,1,4,3051250
20210830 230815,-1,15,2,4,3051250
20210830 230910,-1,15,3,4,3051250
20210830 231008,-1,15,4,4,3047500
20210830 231122,-1,15,5,4,2928750
20210830 231230,-1,20,1,4,3051250
20210830 231327,-1,20,2,4,3051250
20210830 231421,-1,20,3,4,3051250
20210830 231516,-1,20,4,4,3047500
20210830 231612,-1,20,5,4,2928750
20210830 231708,-1,30,1,4,3051250
20210830 231802,-1,30,2,4,3051250
20210830 231857,-1,30,3,4,3051250
20210830 231952,-1,30,4,4,3047500
20210830 232047,-1,30,5,4,2928750
20210830 232141,-1,30,6,4,2928750
20210830 232238,-1,50,1,4,3051250
20210830 232333,-1,50,2,4,3051250
20210830 232428,-1,50,3,4,3051250
20210830 232522,-1,50,4,4,3047500
20210830 232616,-1,50,5,4,2928750
20210830 232711,-1,50,10,4,3268750
20210830 232805,-1,100,1,4,3051250
20210830 232859,-1,100,2,4,3051250
20210830 232953,-1,100,3,4,3051250
20210830 233047,-1,100,4,4,3047500
20210830 233143,-1,100,5,4,2928750
20210830 233244,-1,100,10,4,3268750
20210830 233339,-1,100,20,4,3266250
20210830 233443,-1,2,1,5,3883750
20210830 233546,-1,2,2,5,3818750
20210830 233650,-1,2,3,5,3996250
20210830 233754,-1,2,4,5,3917500
20210830 233858,-1,2,5,5,3663750
20210830 234002,-1,2,0,5,3883750
20210830 234105,-1,4,1,5,3880000
20210830 234211,-1,4,2,5,3818750
20210830 234315,-1,4,3,5,3996250
20210830 234419,-1,4,4,5,3917500
20210830 234524,-1,4,5,5,3663750
20210830 234629,-1,4,0,5,3880000
20210830 234734,-1,8,1,5,3878750
20210830 234839,-1,8,2,5,3817500
20210830 234942,-1,8,3,5,3996250
20210830 235046,-1,8,4,5,3917500
20210830 235152,-1,8,5,5,3663750
20210830 235256,-1,8,0,5,3878750
20210830 235359,-1,10,1,5,3878750
20210830 235503,-1,10,2,5,3817500
20210830 235607,-1,10,3,5,3996250
20210830 235711,-1,10,4,5,3917500
20210830 235816,-1,10,5,5,3663750
20210830 235920,-1,15,1,5,3878750
20210831 000025,-1,15,2,5,3817500
20210831 000128,-1,15,3,5,3996250
20210831 000239,-1,15,4,5,3917500
20210831 000342,-1,15,5,5,3663750
20210831 000445,-1,20,1,5,3878750
20210831 000549,-1,20,2,5,3817500
20210831 000651,-1,20,3,5,3996250
20210831 000755,-1,20,4,5,3917500
20210831 000859,-1,20,5,5,3663750
20210831 001002,-1,30,1,5,3923750
20210831 001105,-1,30,2,5,3862500
20210831 001211,-1,30,3,5,4041250
20210831 001316,-1,30,4,5,3958750
20210831 001420,-1,30,5,5,3658750
20210831 001524,-1,30,6,5,3788750
20210831 001627,-1,50,1,5,3923750
20210831 001732,-1,50,2,5,3862500
20210831 001835,-1,50,3,5,4013750
20210831 001938,-1,50,4,5,3931250
20210831 002043,-1,50,5,5,3631250
20210831 002147,-1,50,10,5,3698750
20210831 002252,-1,100,1,5,3925000
20210831 002356,-1,100,2,5,3863750
20210831 002459,-1,100,3,5,4015000
20210831 002602,-1,100,4,5,3931250
20210831 002706,-1,100,5,5,3632500
20210831 002810,-1,100,10,5,3681250
20210831 002914,-1,100,20,5,3865000
20210831 003026,-1,2,1,6,4202500
20210831 003140,-1,2,2,6,4032500
20210831 003300,-1,2,3,6,3960000
20210831 003413,-1,2,4,6,3712500
20210831 003528,-1,2,5,6,3607500
20210831 003640,-1,2,0,6,4202500
20210831 003753,-1,4,1,6,4245000
20210831 003906,-1,4,2,6,4032500
20210831 004019,-1,4,3,6,3960000
20210831 004132,-1,4,4,6,3712500
20210831 004248,-1,4,5,6,3607500
20210831 004402,-1,4,0,6,4245000
20210831 004515,-1,8,1,6,4240000
20210831 004628,-1,8,2,6,4025000
20210831 004743,-1,8,3,6,3956250
20210831 004857,-1,8,4,6,3712500
20210831 005010,-1,8,5,6,3607500
20210831 005123,-1,8,0,6,4240000
20210831 005239,-1,10,1,6,4237500
20210831 005351,-1,10,2,6,4022500
20210831 005505,-1,10,3,6,3953750
20210831 005618,-1,10,4,6,3703750
20210831 005731,-1,10,5,6,3607500
20210831 005845,-1,15,1,6,4237500
20210831 005957,-1,15,2,6,4022500
20210831 010111,-1,15,3,6,3986250
20210831 010232,-1,15,4,6,3696250
20210831 010347,-1,15,5,6,3600000
20210831 010500,-1,20,1,6,4233750
20210831 010613,-1,20,2,6,4018750
20210831 010727,-1,20,3,6,3982500
20210831 010840,-1,20,4,6,3692500
20210831 010954,-1,20,5,6,3591250
20210831 011109,-1,30,1,6,4278750
20210831 011225,-1,30,2,6,4063750
20210831 011340,-1,30,3,6,4027500
20210831 011455,-1,30,4,6,3733750
20210831 011609,-1,30,5,6,3577500
20210831 011725,-1,30,6,6,3628750
20210831 011838,-1,50,1,6,4278750
20210831 011951,-1,50,2,6,4063750
20210831 012105,-1,50,3,6,4e+06
20210831 012221,-1,50,4,6,3778750
20210831 012335,-1,50,5,6,3622500
20210831 012449,-1,50,10,6,3417500
20210831 012602,-1,100,1,6,4246250
20210831 012715,-1,100,2,6,4031250
20210831 012829,-1,100,3,6,3967500
20210831 012942,-1,100,4,6,3785000
20210831 013056,-1,100,5,6,3577500
20210831 013214,-1,100,10,6,3380000
20210831 013332,-1,100,20,6,3496250
20210831 013455,-1,2,1,7,4070000
20210831 013619,-1,2,2,7,3838750
20210831 013742,-1,2,3,7,3525000
20210831 013906,-1,2,4,7,3655000
20210831 014029,-1,2,5,7,3162500
20210831 014153,-1,2,0,7,4070000
20210831 014317,-1,4,1,7,4110000
20210831 014441,-1,4,2,7,3838750
20210831 014604,-1,4,3,7,3525000
20210831 014727,-1,4,4,7,3655000
20210831 014851,-1,4,5,7,3162500
20210831 015015,-1,4,0,7,4110000
20210831 015142,-1,8,1,7,4105000
20210831 015311,-1,8,2,7,3825000
20210831 015436,-1,8,3,7,3516250
20210831 015600,-1,8,4,7,3655000
20210831 015723,-1,8,5,7,3162500
20210831 015847,-1,8,0,7,4105000
20210831 020011,-1,10,1,7,4148750
20210831 020146,-1,10,2,7,3820000
20210831 020329,-1,10,3,7,3511250
20210831 020450,-1,10,4,7,3640000
20210831 020612,-1,10,5,7,3162500
20210831 020733,-1,15,1,7,4147500
20210831 020854,-1,15,2,7,3815000
20210831 021015,-1,15,3,7,3538750
