fecha,cp,minsplit,minbucket,maxdepth,ganancia
20210901 083423,0,50,2,16,4213750
20210901 083731,0,50,3,16,4383750
20210901 084043,0,50,4,16,3732500
20210901 084347,0,50,5,16,4165000
20210901 084647,0,50,10,16,3295000
20210901 084949,0,100,1,16,3557500
20210901 085252,0,100,2,16,4098750
20210901 085552,0,100,3,16,4207500
20210901 085845,0,100,4,16,3960000
20210901 090138,0,100,5,16,3800000
20210901 090440,0,100,10,16,2237500
20210901 090728,0,100,20,16,537500
20210901 090827,-1,2,1,4,3051250
20210901 090923,-1,2,2,4,3051250
20210901 091019,-1,2,3,4,3051250
20210901 091115,-1,2,4,4,3047500
20210901 091214,-1,2,5,4,2928750
20210901 091309,-1,2,0,4,3051250
20210901 091405,-1,4,1,4,3051250
20210901 091500,-1,4,2,4,3051250
20210901 091557,-1,4,3,4,3051250
20210901 091654,-1,4,4,4,3047500
20210901 091749,-1,4,5,4,2928750
20210901 091844,-1,4,0,4,3051250
20210901 091939,-1,8,1,4,3051250
20210901 092034,-1,8,2,4,3051250
20210901 092130,-1,8,3,4,3051250
20210901 092227,-1,8,4,4,3047500
20210901 092533,-1,2,1,4,3051250
20210901 092628,-1,2,2,4,3051250
20210901 092724,-1,2,3,4,3051250
20210901 092818,-1,2,4,4,3047500
20210901 092913,-1,2,5,4,2928750
20210901 093007,-1,2,0,4,3051250
20210901 093101,-1,4,1,4,3051250
20210901 093157,-1,4,2,4,3051250
20210901 093255,-1,4,3,4,3051250
20210901 093350,-1,4,4,4,3047500
